Event,Description,Resource,Category,StartDate,EndDate
Event-0001,Consectetur adipiscing elit. Lorem ipsum dolor sit amet.,nxppc,Event,2024-11-24T15:45:00,2024-11-24T19:45:00
Event-0002,Vivamus suscipit tortor eget felis. Pellentesque habitant morbi tristique. Consectetur adipiscing elit.,irdtc,PTO,2024-04-19T08:15:00,2024-04-19T09:30:00
Event-0003,Donec sollicitudin molestie malesuada. Nunc non blandit massa. Vestibulum ante ipsum primis. Consectetur adipiscing elit.,qzjng,Travel,2024-01-04T17:00:00,2024-01-04T19:45:00
Event-0004,Vivamus suscipit tortor eget felis. Aliquam erat volutpat. In faucibus orci luctus et.,zsxym,PTO,2024-04-01T00:00:00,2024-04-04T00:00:00
Event-0005,Ut labore et dolore magna aliqua. Pellentesque habitant morbi tristique.,,Event,2024-03-04T00:00:00,2024-03-05T00:00:00
Event-0006,Lorem ipsum dolor sit amet. Duis ultricies lacus sed turpis. Pellentesque habitant morbi tristique. Consectetur adipiscing elit.,arruw,Event,2024-09-01T12:15:00,2024-09-01T14:30:00
Event-0007,In faucibus orci luctus et. Vivamus suscipit tortor eget felis.,myttt,PTO,2024-12-18T00:00:00,2024-12-22T00:00:00
Event-0008,Donec sollicitudin molestie malesuada. Vivamus suscipit tortor eget felis. In faucibus orci luctus et. Mauris in aliquam sem.,dcygt,Event,2024-10-15T16:45:00,2024-10-15T19:30:00
Event-0009,Duis ultricies lacus sed turpis. Sed do eiusmod tempor incididunt.,,Event,2024-08-07T10:30:00,2024-08-07T11:45:00
Event-0010,Vivamus suscipit tortor eget felis. Pellentesque habitant morbi tristique.,hlibp,PTO,2024-03-28T00:00:00,2024-03-31T00:00:00
Event-0011,Sed do eiusmod tempor incididunt. Pellentesque habitant morbi tristique. Ut labore et dolore magna aliqua.,hxzus,,2024-01-15T17:30:00,2024-01-15T21:15:00
Event-0012,Pellentesque habitant morbi tristique. Aliquam erat volutpat.,vqbuo,Travel,2024-03-17T13:15:00,2024-03-17T14:45:00
Event-0013,Pellentesque in ipsum id orci porta dapibus. Lorem ipsum dolor sit amet. In faucibus orci luctus et. Consectetur adipiscing elit.,zhaou,Meeting,2024-04-09T14:00:00,2024-04-09T14:45:00
Event-0014,Sed do eiusmod tempor incididunt. Donec sollicitudin molestie malesuada. Lorem ipsum dolor sit amet.,lgjtf,Event,2024-07-28T14:15:00,2024-07-28T16:45:00
Event-0015,Ut labore et dolore magna aliqua. Sed do eiusmod tempor incididunt. Proin eget tortor risus. Pellentesque in ipsum id orci porta dapibus.,mrmdj,Event,2024-01-30T17:30:00,2024-01-30T21:15:00
Event-0016,Nunc non blandit massa. Proin eget tortor risus.,uanok,Event,2024-08-22T15:45:00,2024-08-22T17:15:00
Event-0017,Vestibulum ante ipsum primis. Proin eget tortor risus. Consectetur adipiscing elit. Aliquam erat volutpat.,etbwe,Event,2024-01-29T10:15:00,2024-01-29T14:15:00
Event-0018,Pellentesque in ipsum id orci porta dapibus. Lorem ipsum dolor sit amet. Curabitur non nulla sit amet.,zomdf,Meeting,2024-07-12T00:00:00,2024-07-17T00:00:00
Event-0019,In faucibus orci luctus et. Consectetur adipiscing elit. Aliquam erat volutpat.,deuzz,Meeting,2024-06-17T10:15:00,2024-06-17T14:00:00
Event-0020,Aliquam erat volutpat. Curabitur non nulla sit amet. Proin eget tortor risus.,etbwe,Travel,2024-01-06T00:00:00,2024-01-07T00:00:00
Event-0021,Curabitur non nulla sit amet. Pellentesque habitant morbi tristique.,etbwe,Travel,2024-04-13T00:00:00,2024-04-14T00:00:00
Event-0022,Consectetur adipiscing elit. Nunc non blandit massa. Ut labore et dolore magna aliqua. Vivamus suscipit tortor eget felis.,,PTO,2024-03-25T17:15:00,2024-03-25T17:45:00
Event-0023,Duis ultricies lacus sed turpis. Ut labore et dolore magna aliqua.,obams,Travel,2024-12-20T00:00:00,2024-12-21T00:00:00
Event-0024,Curabitur non nulla sit amet. Consectetur adipiscing elit. Nunc non blandit massa.,qzjng,Meeting,2024-08-09T00:00:00,2024-08-12T00:00:00
Event-0025,Pellentesque habitant morbi tristique. Vivamus suscipit tortor eget felis. Duis ultricies lacus sed turpis. Lorem ipsum dolor sit amet.,lqmte,PTO,2024-07-02T12:45:00,2024-07-02T16:00:00
Event-0026,Vivamus suscipit tortor eget felis. Proin eget tortor risus. Lorem ipsum dolor sit amet. Sed do eiusmod tempor incididunt.,nxppc,PTO,2024-12-18T15:15:00,2024-12-18T16:45:00
Event-0027,Mauris in aliquam sem. In faucibus orci luctus et.,lqmte,Event,2024-03-10T13:30:00,2024-03-10T16:00:00
Event-0028,Sed do eiusmod tempor incididunt. Mauris in aliquam sem.,vpzva,PTO,2024-10-30T00:00:00,2024-11-01T00:00:00
Event-0029,In faucibus orci luctus et. Pellentesque habitant morbi tristique. Curabitur non nulla sit amet.,deuzz,Meeting,2024-10-27T11:15:00,2024-10-27T11:45:00
Event-0030,Aliquam erat volutpat. Vivamus suscipit tortor eget felis.,irdtc,Event,2024-05-05T00:00:00,2024-05-09T00:00:00
Event-0031,Mauris in aliquam sem. Duis ultricies lacus sed turpis.,,PTO,2024-07-21T17:15:00,2024-07-21T18:30:00
Event-0032,Pellentesque habitant morbi tristique. Curabitur non nulla sit amet. Proin eget tortor risus. Lorem ipsum dolor sit amet.,dynoh,Meeting,2024-01-04T11:00:00,2024-01-04T15:00:00
Event-0033,In faucibus orci luctus et. Proin eget tortor risus. Vivamus suscipit tortor eget felis. Lorem ipsum dolor sit amet.,arruw,PTO,2024-11-07T00:00:00,2024-11-12T00:00:00
Event-0034,Consectetur adipiscing elit. Nunc non blandit massa. Donec sollicitudin molestie malesuada. Sed do eiusmod tempor incididunt.,ucpxp,PTO,2024-02-25T09:30:00,2024-02-25T11:45:00
Event-0035,Donec sollicitudin molestie malesuada. Lorem ipsum dolor sit amet. Aliquam erat volutpat.,cirqy,Event,2024-08-04T09:15:00,2024-08-04T09:30:00
Event-0036,Proin eget tortor risus. Lorem ipsum dolor sit amet. Vivamus suscipit tortor eget felis. Pellentesque habitant morbi tristique.,vwvkn,Event,2024-04-18T00:00:00,2024-04-20T00:00:00
Event-0037,Ut labore et dolore magna aliqua. Vivamus suscipit tortor eget felis. Nunc non blandit massa.,,Event,2024-05-31T08:45:00,2024-05-31T10:00:00
Event-0038,Duis ultricies lacus sed turpis. Mauris in aliquam sem. Sed do eiusmod tempor incididunt.,vwvkn,PTO,2024-11-22T00:00:00,2024-11-23T00:00:00
Event-0039,Ut labore et dolore magna aliqua. Pellentesque habitant morbi tristique. Pellentesque in ipsum id orci porta dapibus.,zomdf,Meeting,2024-12-21T10:30:00,2024-12-21T11:15:00
Event-0040,Pellentesque habitant morbi tristique. Nunc non blandit massa. Ut labore et dolore magna aliqua. Donec sollicitudin molestie malesuada.,,Event,2024-08-19T00:00:00,2024-08-22T00:00:00
Event-0041,Lorem ipsum dolor sit amet. Proin eget tortor risus. Ut labore et dolore magna aliqua.,bicfx,Travel,2024-12-06T11:15:00,2024-12-06T14:00:00
Event-0042,Curabitur non nulla sit amet. Duis ultricies lacus sed turpis. In faucibus orci luctus et. Pellentesque in ipsum id orci porta dapibus.,hrung,,2024-07-26T00:00:00,2024-07-31T00:00:00
Event-0043,Pellentesque in ipsum id orci porta dapibus. Proin eget tortor risus. Mauris in aliquam sem. Aliquam erat volutpat.,wkdem,Meeting,2024-06-28T09:30:00,2024-06-28T12:00:00
Event-0044,Sed do eiusmod tempor incididunt. Pellentesque in ipsum id orci porta dapibus. Pellentesque habitant morbi tristique.,,Travel,2024-01-31T00:00:00,2024-02-05T00:00:00
Event-0045,Lorem ipsum dolor sit amet. Ut labore et dolore magna aliqua.,vqbuo,Event,2024-12-16T17:30:00,2024-12-16T21:30:00
Event-0046,Sed do eiusmod tempor incididunt. Curabitur non nulla sit amet. Lorem ipsum dolor sit amet. In faucibus orci luctus et.,zhaou,Travel,2024-01-03T12:00:00,2024-01-03T13:00:00
Event-0047,Lorem ipsum dolor sit amet. Duis ultricies lacus sed turpis. Sed do eiusmod tempor incididunt.,twbce,PTO,2024-12-29T11:45:00,2024-12-29T12:00:00
Event-0048,Curabitur non nulla sit amet. Vivamus suscipit tortor eget felis. In faucibus orci luctus et.,,Event,2024-07-18T08:45:00,2024-07-18T10:45:00
Event-0049,Vestibulum ante ipsum primis. Proin eget tortor risus. Nunc non blandit massa.,irdtc,Event,2024-02-21T13:30:00,2024-02-21T16:15:00
Event-0050,In faucibus orci luctus et. Ut labore et dolore magna aliqua. Nunc non blandit massa.,,Event,2024-10-31T15:15:00,2024-10-31T16:45:00
Event-0051,Ut labore et dolore magna aliqua. Sed do eiusmod tempor incididunt.,deuzz,Meeting,2024-08-22T16:30:00,2024-08-22T17:30:00
Event-0052,Ut labore et dolore magna aliqua. Donec sollicitudin molestie malesuada.,tqunh,Event,2024-12-20T11:45:00,2024-12-20T14:45:00
Event-0053,Vestibulum ante ipsum primis. Duis ultricies lacus sed turpis.,wkdem,PTO,2024-03-22T13:00:00,2024-03-22T15:00:00
Event-0054,In faucibus orci luctus et. Vivamus suscipit tortor eget felis.,,Event,2024-03-10T00:00:00,2024-03-11T00:00:00
Event-0055,Vestibulum ante ipsum primis. Pellentesque in ipsum id orci porta dapibus.,nxppc,PTO,2024-01-25T13:00:00,2024-01-25T14:45:00
Event-0056,Vestibulum ante ipsum primis. Vivamus suscipit tortor eget felis. Pellentesque in ipsum id orci porta dapibus.,,Event,2024-10-17T00:00:00,2024-10-20T00:00:00
Event-0057,Ut labore et dolore magna aliqua. Proin eget tortor risus. Vivamus suscipit tortor eget felis.,muolf,,2024-10-26T00:00:00,2024-10-27T00:00:00
Event-0058,Vestibulum ante ipsum primis. In faucibus orci luctus et. Curabitur non nulla sit amet.,vqbuo,Event,2024-02-05T09:45:00,2024-02-05T13:45:00
Event-0059,Pellentesque in ipsum id orci porta dapibus. Proin eget tortor risus. Nunc non blandit massa.,ijyta,Meeting,2024-11-05T14:00:00,2024-11-05T17:15:00
Event-0060,Proin eget tortor risus. Pellentesque in ipsum id orci porta dapibus.,myttt,Travel,2024-01-28T00:00:00,2024-02-02T00:00:00
Event-0061,Donec sollicitudin molestie malesuada. Aliquam erat volutpat.,hrung,Event,2024-08-08T08:15:00,2024-08-08T11:00:00
Event-0062,Sed do eiusmod tempor incididunt. Curabitur non nulla sit amet.,lqmte,Event,2024-09-16T15:00:00,2024-09-16T18:30:00
Event-0063,Sed do eiusmod tempor incididunt. Vivamus suscipit tortor eget felis. Lorem ipsum dolor sit amet.,dynoh,Meeting,2024-09-01T00:00:00,2024-09-05T00:00:00
Event-0064,Lorem ipsum dolor sit amet. Pellentesque in ipsum id orci porta dapibus. Ut labore et dolore magna aliqua. Duis ultricies lacus sed turpis.,,Meeting,2024-03-13T00:00:00,2024-03-17T00:00:00
Event-0065,Aliquam erat volutpat. Curabitur non nulla sit amet.,hrung,PTO,2024-07-08T10:15:00,2024-07-08T13:45:00
Event-0066,Mauris in aliquam sem. Donec sollicitudin molestie malesuada. Pellentesque habitant morbi tristique.,etbwe,Travel,2024-11-22T00:00:00,2024-11-25T00:00:00
Event-0067,Vivamus suscipit tortor eget felis. Mauris in aliquam sem. Lorem ipsum dolor sit amet. Sed do eiusmod tempor incididunt.,evbmd,,2024-03-14T00:00:00,2024-03-19T00:00:00
Event-0068,In faucibus orci luctus et. Pellentesque in ipsum id orci porta dapibus. Donec sollicitudin molestie malesuada. Vestibulum ante ipsum primis.,,PTO,2024-05-16T00:00:00,2024-05-21T00:00:00
Event-0069,Aliquam erat volutpat. Vestibulum ante ipsum primis.,vwvkn,Meeting,2024-08-26T00:00:00,2024-08-29T00:00:00
Event-0070,Vestibulum ante ipsum primis. In faucibus orci luctus et. Ut labore et dolore magna aliqua.,zidei,Travel,2024-06-29T08:45:00,2024-06-29T09:00:00
Event-0071,Consectetur adipiscing elit. Mauris in aliquam sem. Pellentesque in ipsum id orci porta dapibus.,dynoh,Event,2024-06-08T00:00:00,2024-06-11T00:00:00
Event-0072,Pellentesque habitant morbi tristique. Curabitur non nulla sit amet.,evbmd,Travel,2024-04-12T00:00:00,2024-04-13T00:00:00
Event-0073,Sed do eiusmod tempor incididunt. Nunc non blandit massa.,ylldz,Meeting,2024-01-07T16:00:00,2024-01-07T17:15:00
Event-0074,Aliquam erat volutpat. Pellentesque in ipsum id orci porta dapibus.,cirqy,,2024-05-26T00:00:00,2024-05-29T00:00:00
Event-0075,Vivamus suscipit tortor eget felis. Pellentesque habitant morbi tristique. Duis ultricies lacus sed turpis.,lxkgn,Meeting,2024-02-15T15:15:00,2024-02-15T17:30:00
Event-0076,Vivamus suscipit tortor eget felis. Consectetur adipiscing elit. Aliquam erat volutpat.,ylldz,Event,2024-11-02T14:45:00,2024-11-02T15:30:00
Event-0077,Sed do eiusmod tempor incididunt. In faucibus orci luctus et. Pellentesque habitant morbi tristique.,dynoh,PTO,2024-05-07T00:00:00,2024-05-09T00:00:00
Event-0078,Ut labore et dolore magna aliqua. Sed do eiusmod tempor incididunt. Aliquam erat volutpat.,nzrvh,Event,2024-08-12T11:15:00,2024-08-12T11:45:00
Event-0079,Sed do eiusmod tempor incididunt. Duis ultricies lacus sed turpis.,lgjtf,Event,2024-10-31T15:15:00,2024-10-31T16:30:00
Event-0080,Proin eget tortor risus. Sed do eiusmod tempor incididunt.,xsiht,,2024-05-01T11:15:00,2024-05-01T12:30:00
Event-0081,In faucibus orci luctus et. Donec sollicitudin molestie malesuada. Pellentesque in ipsum id orci porta dapibus.,jwjdb,Meeting,2024-08-17T17:15:00,2024-08-17T20:00:00
Event-0082,Nunc non blandit massa. Vivamus suscipit tortor eget felis.,kbbiz,Meeting,2024-06-17T13:45:00,2024-06-17T15:30:00
Event-0083,Proin eget tortor risus. Duis ultricies lacus sed turpis. Pellentesque habitant morbi tristique. Nunc non blandit massa.,kbbiz,,2024-03-08T14:00:00,2024-03-08T16:45:00
Event-0084,Proin eget tortor risus. Vestibulum ante ipsum primis. Ut labore et dolore magna aliqua. Nunc non blandit massa.,zsxym,PTO,2024-12-01T13:30:00,2024-12-01T16:30:00
Event-0085,Mauris in aliquam sem. Donec sollicitudin molestie malesuada. In faucibus orci luctus et. Vivamus suscipit tortor eget felis.,tqunh,PTO,2024-08-29T17:00:00,2024-08-29T19:30:00
Event-0086,Pellentesque in ipsum id orci porta dapibus. Duis ultricies lacus sed turpis. Vestibulum ante ipsum primis. Mauris in aliquam sem.,muolf,Meeting,2024-08-20T17:00:00,2024-08-20T17:30:00
Event-0087,Mauris in aliquam sem. Pellentesque habitant morbi tristique.,acfbm,Event,2024-07-16T08:45:00,2024-07-16T11:00:00
Event-0088,Vivamus suscipit tortor eget felis. Proin eget tortor risus.,xsiht,Travel,2024-05-24T11:00:00,2024-05-24T14:45:00
Event-0089,Vestibulum ante ipsum primis. Donec sollicitudin molestie malesuada. Curabitur non nulla sit amet. In faucibus orci luctus et.,arruw,Travel,2024-03-31T00:00:00,2024-04-05T00:00:00
Event-0090,Mauris in aliquam sem. Curabitur non nulla sit amet. Vestibulum ante ipsum primis.,xsiht,Travel,2024-05-18T17:30:00,2024-05-18T20:15:00
Event-0091,Pellentesque habitant morbi tristique. Mauris in aliquam sem. Proin eget tortor risus.,dcygt,Travel,2024-07-30T10:30:00,2024-07-30T11:00:00
Event-0092,Lorem ipsum dolor sit amet. Vivamus suscipit tortor eget felis.,vwvkn,Event,2024-08-04T13:00:00,2024-08-04T13:15:00
Event-0093,Donec sollicitudin molestie malesuada. Proin eget tortor risus. Vivamus suscipit tortor eget felis.,zhaou,Event,2024-01-25T14:30:00,2024-01-25T18:15:00
Event-0094,Vivamus suscipit tortor eget felis. Pellentesque in ipsum id orci porta dapibus. Proin eget tortor risus.,dcygt,Meeting,2024-06-10T00:00:00,2024-06-13T00:00:00
